location,guests,bedrooms,beds,bathrooms,wifi,parking,kitchen,pool,gym,fireplace,security,price_per_night
Varanasi,8,4,6,2,0,1,0,0,0,0,0,9381
Bangalore,3,3,2,1,0,1,0,1,0,1,1,10842
Chennai,3,3,4,2,1,0,0,0,0,0,1,9979
Mysore,5,5,3,3,1,0,1,1,1,1,0,12641
Chennai,9,3,1,3,0,0,1,0,1,1,0,11626
Shimla,1,4,3,1,0,1,1,1,1,1,0,9884
Udaipur,5,3,5,2,0,1,1,1,0,1,1,11033
Chennai,7,4,4,4,0,0,0,0,0,1,1,11959
Jodhpur,4,4,2,2,0,1,1,0,0,1,0,8334
Hyderabad,9,2,1,4,0,0,0,1,0,0,0,11591
Pune,6,3,3,3,1,1,0,1,1,1,1,14070
Nagpur,8,1,6,2,0,1,0,1,0,1,0,11367
Raipur,7,3,2,2,0,0,0,0,1,1,0,8034
Jodhpur,6,3,4,3,0,0,0,0,0,0,1,7456
Agra,6,4,5,4,1,1,0,0,1,0,1,10056
Agra,1,2,3,3,1,0,1,0,0,1,0,6946
Mysore,1,1,1,3,0,1,0,0,1,1,0,7142
Hyderabad,6,4,4,4,1,1,0,1,0,0,1,13584
Hyderabad,4,5,5,2,1,1,0,0,0,0,0,11571
Mumbai,4,4,2,3,1,0,1,1,0,1,0,14053
Indore,4,2,4,4,1,0,0,1,0,1,1,12255
Surat,4,5,1,4,0,1,1,1,0,1,0,12798
Indore,6,4,4,4,0,1,1,1,1,1,1,13748
Lucknow,6,2,4,2,0,0,1,1,1,0,1,12080
Mumbai,5,2,5,2,0,1,1,1,1,1,0,14299
Lucknow,6,5,5,2,0,1,1,0,0,0,0,9848
Udaipur,8,4,6,4,1,1,0,0,1,1,0,12671
Mumbai,9,4,1,2,0,1,0,1,0,1,0,13057
Ahmedabad,1,4,4,2,0,0,0,1,0,1,1,11477
Jodhpur,9,5,6,1,0,0,1,1,1,1,0,13296
Lucknow,2,2,6,1,0,1,0,0,0,1,1,6837
Kolkata,8,4,4,1,0,0,0,0,1,0,1,11820
Delhi,3,5,3,4,0,1,1,1,0,1,0,14406
Varanasi,1,4,2,4,0,0,0,1,0,0,1,9387
Agra,4,5,4,2,0,1,1,0,0,1,0,9383
Varanasi,4,4,6,4,1,1,0,0,1,1,0,11474
Shimla,5,4,6,4,1,1,0,0,0,0,1,9240
Mumbai,1,5,3,4,0,1,1,1,0,0,0,13095
Indore,3,1,1,2,0,0,1,0,0,0,1,5291
Bhopal,2,3,1,4,1,0,0,1,0,0,1,10234
Shimla,5,2,4,1,1,1,1,0,1,1,1,8573
Shimla,8,5,6,2,1,1,1,0,0,1,1,11747
Coimbatore,1,2,6,2,0,1,1,0,1,1,1,9106
Varanasi,8,3,3,2,1,1,1,0,1,1,1,9893
Surat,6,3,6,2,0,1,0,0,1,0,0,10244
Raipur,4,1,2,4,1,1,1,1,1,1,1,10391
Udaipur,1,3,1,4,0,0,1,1,0,1,1,9890
Bhopal,3,2,1,1,1,0,0,0,0,1,0,6636
Shimla,7,4,2,2,0,1,0,1,0,1,0,10916
Raipur,7,1,5,1,1,1,1,1,0,0,0,9387
Patna,2,4,4,3,0,0,1,0,0,0,1,8762
Jodhpur,2,2,2,1,1,1,1,1,0,1,0,8347
Udaipur,2,5,1,4,1,1,0,1,1,1,1,11223
Mumbai,3,3,2,4,1,0,0,0,1,0,1,10029
Bhopal,4,5,1,4,0,1,0,0,0,1,0,10722
Jodhpur,5,3,5,4,0,1,0,0,1,0,1,10753
Jodhpur,2,5,1,2,0,0,0,1,1,0,1,9448
Coimbatore,2,1,1,1,1,0,0,0,1,1,1,6159
Dehradun,5,2,3,2,1,1,1,0,1,0,1,8569
Agra,3,3,4,1,0,1,1,0,1,0,1,7608
Mysore,1,4,5,2,0,1,1,1,0,1,0,10376
Jodhpur,1,5,2,4,0,0,1,0,1,0,1,8252
Nagpur,1,5,6,1,0,0,1,0,0,1,0,8171
Udaipur,4,2,2,1,1,0,1,1,0,0,0,8640
Bhopal,1,4,5,1,1,1,0,0,0,0,1,8568
Patna,9,4,1,3,1,0,0,1,1,1,0,13474
Delhi,3,2,1,2,0,0,0,0,0,1,1,7573
Jaipur,8,5,6,3,1,0,1,0,1,0,1,12856
Hyderabad,8,1,3,3,0,0,1,0,1,0,1,10772
Agra,7,5,1,1,1,0,0,0,0,0,0,8617
Varanasi,7,1,3,3,1,0,0,1,0,1,1,10410
Agra,7,3,4,3,1,0,0,1,0,0,0,9559
Raipur,4,2,4,2,0,1,1,0,1,0,0,7694
Mumbai,1,3,1,1,0,0,1,1,1,0,0,10587
Dehradun,10,4,3,3,1,1,1,0,1,1,1,11542
Nagpur,7,1,1,1,0,1,1,0,0,0,0,6676
Bhopal,9,4,2,4,1,0,0,0,1,1,1,12888
Dehradun,2,5,2,2,1,1,0,0,1,0,0,9010
Kolkata,8,5,4,2,0,1,1,0,0,0,1,13233
Bangalore,1,1,1,3,1,1,1,0,0,1,1,8647
Jaipur,1,5,3,3,1,0,0,0,0,1,0,9637
Lucknow,4,2,6,3,0,0,1,0,1,1,0,9987
Lucknow,7,5,2,3,1,0,0,1,0,0,1,13079
Varanasi,10,2,2,4,1,1,1,0,0,0,1,10162
Patna,3,4,1,2,1,0,0,1,1,1,0,11805
Jaipur,5,1,3,2,1,1,1,1,1,0,0,10434
Hyderabad,7,1,4,2,1,1,0,0,0,0,0,9615
Raipur,5,4,5,4,0,1,1,1,0,1,1,13293
Mysore,6,4,4,1,0,0,0,0,0,0,1,8185
Jodhpur,6,5,4,4,1,0,1,0,1,0,1,11998
Jaipur,9,3,4,1,0,1,0,1,0,0,0,11248
Shimla,10,5,1,1,0,1,1,1,1,0,0,11709
Varanasi,3,5,4,3,0,0,0,0,0,0,1,8885
Lucknow,10,4,2,3,0,0,1,1,1,1,1,14617
Mumbai,5,2,5,1,1,1,1,0,1,1,1,11594
Agra,2,5,5,1,0,0,0,0,0,1,1,7676
Varanasi,5,3,5,4,1,1,1,1,1,1,1,13032
Hyderabad,4,5,6,2,0,1,1,0,0,1,0,12117
Jaipur,8,4,5,4,1,0,0,1,1,0,0,13463
Indore,7,4,4,4,0,0,0,1,1,0,1,13299
Bhopal,3,1,3,3,1,0,0,1,0,0,1,8455
Bhopal,2,1,2,2,1,0,1,1,0,0,1,9101
Nagpur,3,3,5,1,0,1,0,1,1,1,1,11478
Ahmedabad,2,5,1,3,0,1,0,0,0,0,0,9584
Raipur,7,3,1,4,1,0,0,0,0,0,0,7679
Raipur,4,4,4,2,1,1,0,0,0,1,1,8950
Bhopal,8,5,6,2,1,1,0,1,0,1,1,14791
Agra,3,1,6,2,0,1,0,0,1,1,0,7461
Lucknow,3,3,5,2,0,0,0,1,0,1,0,9228
Nagpur,3,5,6,1,1,0,0,1,1,1,1,13595
Kolkata,2,3,5,1,1,0,1,1,0,1,0,10768
Mysore,2,2,4,1,0,0,1,1,0,1,1,8230
Dehradun,2,5,4,1,1,0,0,1,1,0,1,10739
Patna,9,3,6,2,0,1,1,0,1,0,0,11663
Ahmedabad,2,5,4,3,1,1,0,0,1,1,0,11911
Bangalore,1,1,6,3,0,0,1,0,0,1,1,8756
Hyderabad,8,4,3,2,0,1,1,0,0,1,0,11471
Varanasi,4,2,6,1,0,1,1,1,1,1,1,11440
Mumbai,8,1,6,4,0,1,0,0,0,1,0,12484
Surat,10,5,3,1,0,1,0,1,1,1,0,14234
Nagpur,6,2,1,1,0,0,0,1,0,1,0,8235
Ahmedabad,2,2,1,1,0,0,1,1,0,0,0,9081
Chandigarh,9,2,1,2,0,0,1,1,0,0,1,10303
Jaipur,6,1,5,4,1,1,1,0,1,1,1,12208
Indore,6,3,5,4,1,0,1,0,0,1,0,10916
Mumbai,4,3,2,2,0,1,0,0,1,0,0,10635
Nagpur,2,4,4,4,0,0,1,1,1,0,1,12136
Udaipur,4,2,6,1,0,1,0,1,1,0,1,9798
Chandigarh,5,5,2,4,1,1,1,0,1,1,0,13362
Dehradun,8,1,4,3,0,1,1,0,0,1,1,8038
Udaipur,1,1,2,2,0,1,1,1,0,0,0,6197
Mysore,1,2,4,1,0,1,0,1,1,0,1,8596
Chennai,9,1,2,4,0,0,1,0,0,0,1,11419
Patna,4,4,5,2,1,0,0,0,1,0,0,8875
Kolkata,4,1,5,4,0,0,1,1,0,0,1,11758
Bangalore,10,3,4,1,1,0,0,0,0,1,0,12186
Delhi,1,2,3,3,1,1,1,1,1,0,0,12904
Jodhpur,6,4,4,3,0,0,1,0,1,0,1,10389
Jaipur,2,4,4,4,0,1,0,1,1,0,1,12727
Hyderabad,10,4,1,2,0,0,0,0,0,1,1,12716
Kolkata,3,3,1,1,1,1,1,1,0,1,1,11832
Varanasi,10,4,2,3,1,0,0,0,1,1,1,10572
Raipur,3,4,5,3,1,1,0,0,1,1,0,9209
Hyderabad,5,4,5,4,1,0,0,0,1,1,1,14407
Udaipur,2,3,6,1,1,0,0,1,1,1,0,10029
Dehradun,9,1,6,1,0,0,0,1,1,0,1,10495
Kolkata,8,3,1,3,0,1,1,0,1,0,0,12255
Shimla,6,4,2,2,1,1,1,1,0,0,1,11025
Surat,8,4,1,1,0,0,0,0,0,1,0,8075
Coimbatore,3,2,2,2,1,0,0,1,0,1,1,10474
Dehradun,3,3,3,4,1,0,0,0,0,0,1,8483
Jodhpur,7,3,4,4,1,0,0,0,0,0,0,9593
Agra,1,4,3,2,0,0,0,1,1,0,0,8865
Bangalore,10,2,6,3,0,1,0,0,0,1,0,12755
Delhi,9,3,1,4,1,1,0,0,1,1,1,13759
Dehradun,10,4,3,1,0,0,0,0,0,0,0,7661
Nagpur,8,3,2,3,1,1,1,1,1,0,0,13286
Varanasi,7,4,5,3,1,0,1,0,1,1,1,12226
Raipur,9,1,5,4,0,1,0,0,1,0,1,9972
Jaipur,3,5,6,2,0,0,0,1,1,1,0,11664
Bangalore,3,4,1,4,1,0,0,1,1,0,1,13461
Agra,3,4,3,2,1,0,0,1,1,0,1,9549
Dehradun,8,4,2,4,0,1,0,1,0,1,0,12519
Chandigarh,3,2,5,4,0,0,1,0,1,1,0,10177
Pune,6,5,5,1,0,0,0,1,0,0,0,11996
Pune,8,2,5,2,0,1,1,0,1,1,0,11470
Mysore,4,5,4,3,1,0,1,0,1,0,0,9412
Raipur,7,3,1,2,0,0,0,1,0,0,0,8438
Agra,8,5,4,4,0,1,0,1,1,1,0,14984
Varanasi,8,3,5,3,0,0,0,0,0,1,1,10011
Patna,3,1,1,4,1,0,1,1,0,1,0,9519
Kolkata,1,5,1,4,1,0,1,0,0,0,1,10749
Indore,1,5,3,1,0,0,1,0,1,1,1,9108
Udaipur,2,3,1,1,1,0,0,0,0,0,0,4019
Udaipur,10,5,6,4,0,1,0,1,1,1,1,14524
Hyderabad,7,3,5,2,1,0,0,1,0,0,0,13322
Chandigarh,3,3,6,1,0,1,1,1,0,1,0,11675
Jaipur,2,1,3,3,1,0,1,0,1,1,0,8366
Chandigarh,2,3,2,4,1,0,0,0,0,1,1,9711
Bangalore,6,4,5,4,0,1,1,0,1,0,0,13795
Nagpur,10,5,2,4,0,1,1,1,1,0,0,15652
Varanasi,7,2,5,2,0,0,0,0,1,0,1,7816
Udaipur,10,4,3,2,0,0,1,1,1,1,1,13578
Coimbatore,1,2,4,2,0,0,0,1,1,1,1,10956
Raipur,4,4,6,1,1,1,0,0,1,0,1,8200
Mumbai,7,2,6,4,0,1,1,0,0,1,0,12203
Patna,6,1,4,2,1,1,0,0,1,0,1,9387
Jodhpur,4,4,2,2,0,1,0,0,1,0,1,8287
Raipur,4,5,4,3,1,1,0,1,1,0,1,11974
Surat,7,4,1,2,1,1,1,0,1,0,0,9496
Indore,6,4,3,4,0,1,0,0,1,0,0,10976
Agra,8,2,2,4,1,0,0,0,0,1,1,9987
Ahmedabad,2,5,3,4,0,1,0,0,1,0,0,11185
Ahmedabad,3,4,1,4,0,0,1,0,1,1,0,11367
Bangalore,5,5,3,4,1,1,0,1,1,1,1,16375
Raipur,9,4,1,2,0,1,0,0,0,1,1,10298
Raipur,7,4,4,1,0,1,0,1,1,1,0,11725
Surat,10,5,5,2,0,1,1,1,1,1,1,16586
Indore,1,5,3,3,0,0,0,1,0,1,1,10481
Udaipur,4,5,3,1,1,1,0,0,0,0,1,7943
Raipur,7,5,3,3,1,1,1,1,0,0,1,12228
Bhopal,6,2,4,3,1,1,0,0,1,0,1,10159
Hyderabad,10,2,1,4,1,1,0,1,0,0,0,12150
Kolkata,6,2,6,1,1,1,1,0,1,0,0,11526
Nagpur,8,4,5,4,0,0,1,0,1,1,0,12743
Jodhpur,6,4,5,1,1,0,0,0,0,1,0,9336
Chennai,6,4,6,1,0,1,1,0,1,0,0,12458
Bangalore,10,1,6,1,1,1,0,1,1,0,1,13920
Udaipur,4,2,3,4,0,1,0,0,0,0,0,6159
Delhi,6,5,5,1,1,0,0,0,1,1,1,13325
Kolkata,8,4,5,1,0,0,1,1,0,0,0,12619
Mumbai,8,3,4,4,1,0,1,0,1,1,1,13394
Ahmedabad,8,3,3,2,1,0,0,0,1,1,0,12508
Bangalore,10,3,5,2,1,0,0,1,1,0,0,14209
Bangalore,9,1,4,4,1,0,1,0,1,1,1,12609
Chandigarh,1,5,3,2,1,1,0,0,0,1,1,9339
Surat,5,5,2,3,0,1,0,1,0,0,1,12157
Agra,4,5,5,1,0,1,1,0,0,0,0,8691
Patna,6,3,6,1,0,1,1,0,1,0,1,10391
Patna,5,4,3,4,1,0,0,1,1,1,1,13134
Pune,1,4,5,1,0,0,0,0,0,0,1,7866
Patna,6,3,1,3,0,0,1,0,0,1,0,8295
Jodhpur,10,5,4,2,1,0,0,1,1,0,1,13402
Raipur,2,2,3,1,1,0,1,1,0,1,1,8967
Hyderabad,10,4,4,1,0,1,1,1,0,1,1,15271
Chandigarh,9,5,5,1,0,0,0,0,0,1,0,10763
Indore,10,3,1,1,0,1,0,1,0,0,0,11113
Bhopal,7,1,2,1,1,1,1,0,1,1,0,8823
Jaipur,2,3,5,1,0,1,0,1,0,0,1,10371
Pune,9,4,6,1,1,1,1,1,0,1,1,15093
Coimbatore,2,1,2,3,1,0,1,0,1,1,1,8878
Patna,5,5,1,1,1,0,0,1,1,0,1,12283
Lucknow,9,3,3,3,1,0,1,0,1,0,0,10665
Hyderabad,10,2,5,2,0,0,1,1,1,1,1,14764
Chandigarh,3,4,5,1,1,1,0,1,1,1,1,11700
Lucknow,1,5,6,1,0,1,0,1,0,0,0,9655
Raipur,8,4,5,2,1,1,0,0,1,1,0,11444
Chandigarh,10,2,2,1,1,1,1,1,0,1,1,12290
Bangalore,2,1,6,4,1,1,0,1,0,0,0,11020
Pune,4,2,5,2,0,1,1,1,0,0,0,11381
Agra,9,1,3,3,1,0,0,0,0,1,0,9032
Nagpur,3,1,1,4,1,1,0,0,1,1,0,8294
Shimla,6,4,4,2,0,1,0,1,1,0,1,11144
Ahmedabad,3,2,6,1,1,1,1,0,0,0,1,9186
Coimbatore,7,1,6,3,0,1,1,0,1,1,1,12195
Jaipur,4,2,1,2,0,0,1,0,1,1,1,9351
Mumbai,5,5,1,4,1,1,0,0,0,0,1,11774
Jaipur,6,5,6,2,0,1,1,1,0,0,1,13634
Ahmedabad,10,1,1,2,1,1,0,1,0,1,1,12530
Pune,6,5,4,4,1,0,1,1,0,1,0,15791
Bhopal,8,5,2,1,1,0,1,0,1,0,0,10521
Jaipur,7,3,5,2,1,1,0,1,0,0,0,12012
Chandigarh,2,4,2,4,1,0,1,0,1,0,0,9871
Bangalore,7,3,1,2,1,0,0,0,0,1,1,11082
Mysore,3,4,4,2,1,1,1,1,0,1,0,10597
Dehradun,7,5,2,1,0,1,1,1,0,0,0,10442
Jaipur,7,1,5,1,0,0,1,1,1,0,0,10793
Mumbai,6,4,5,1,0,1,0,0,1,0,1,11775
Ahmedabad,10,3,2,3,1,0,1,0,0,1,1,12198
Nagpur,7,1,2,1,0,1,1,1,0,1,0,9187
Jaipur,9,4,4,1,1,0,1,1,1,0,0,13757
Varanasi,1,5,3,1,0,1,1,0,1,1,0,8344
Coimbatore,3,3,3,2,0,1,0,1,0,0,1,10400
Shimla,7,5,4,1,0,1,0,0,0,0,0,9429
Shimla,2,5,1,4,0,0,1,0,0,1,1,9341
Varanasi,5,3,5,1,0,1,1,1,0,0,1,9895
Surat,5,3,1,2,1,0,1,1,1,0,0,11382
Hyderabad,2,4,1,2,1,0,1,1,1,1,1,12397
Hyderabad,10,3,4,1,0,1,0,0,1,1,1,12187
Chandigarh,6,4,1,4,0,0,1,1,1,0,0,13348
Surat,3,2,2,3,0,0,1,0,1,0,1,8033
Bangalore,10,1,2,2,1,1,0,1,0,0,0,12226
Surat,7,2,1,2,1,0,0,0,0,1,0,8544
Jodhpur,10,2,6,1,1,1,1,0,0,1,1,10509
Bhopal,1,4,3,3,1,1,1,0,0,1,1,10563
Coimbatore,4,3,4,3,1,0,0,0,0,1,1,10147
Jodhpur,1,4,6,3,0,0,1,1,1,1,1,12491
Varanasi,9,4,5,4,0,1,1,1,1,0,1,13501
Bangalore,2,4,5,3,1,1,1,0,0,0,1,11266
Delhi,5,1,2,4,0,0,1,0,0,1,0,10524
Chandigarh,2,5,6,4,1,1,1,0,0,0,0,9958
Bangalore,7,3,3,1,0,0,0,1,1,0,1,11829
Kolkata,10,5,1,2,1,0,1,0,1,0,1,13526
Chennai,9,5,1,1,1,0,0,0,1,0,1,12988
Nagpur,10,3,1,3,0,0,0,0,0,0,0,8537
Coimbatore,1,4,2,1,1,0,0,1,0,1,1,10025
Indore,7,5,4,2,1,1,0,1,0,0,0,12322
Jodhpur,1,3,1,4,1,0,1,0,1,0,0,8350
Udaipur,6,1,4,3,0,0,0,1,0,0,0,8881
Coimbatore,2,2,6,3,0,1,1,1,1,0,1,12287
Chennai,6,3,1,1,1,1,1,0,0,0,0,8953
Agra,3,4,1,4,0,1,0,1,1,0,0,10306
Patna,2,5,3,1,1,0,0,0,1,1,0,8508
Agra,9,1,2,2,0,0,0,0,0,1,0,6451
Indore,4,1,2,3,0,1,0,0,0,0,0,6847
Ahmedabad,4,3,5,3,1,0,1,1,0,1,1,13216
Raipur,6,1,6,2,1,0,0,0,0,1,1,7891
Pune,2,5,2,4,0,0,1,0,1,0,1,12527
Hyderabad,4,1,5,4,1,1,0,0,1,0,1,10958
Jodhpur,6,2,5,1,0,0,0,0,0,1,0,7044
Mysore,5,2,5,2,0,1,0,1,1,0,1,10382
Lucknow,7,2,2,4,1,0,0,1,1,1,1,12304
Shimla,2,3,6,3,1,0,0,1,0,1,0,9046
Nagpur,2,5,1,3,1,1,1,0,0,0,0,9056
Delhi,6,4,6,1,1,1,0,1,0,1,1,14716
Bangalore,7,2,6,4,0,0,0,1,1,0,1,13903
Lucknow,9,3,2,1,1,0,1,1,0,0,1,10268
Mumbai,7,3,4,2,0,1,1,0,1,0,1,12772
Mumbai,5,2,3,3,0,1,0,0,0,1,0,10545
Hyderabad,2,5,3,4,1,1,1,1,0,1,0,13903
Agra,5,2,4,4,0,0,1,1,0,1,1,11645
Nagpur,3,2,5,2,0,0,1,0,0,0,0,7097
Nagpur,8,2,5,4,0,1,0,1,0,0,1,12148
Agra,10,4,6,3,1,0,1,1,0,1,1,13134
Ahmedabad,6,4,4,3,0,1,0,0,1,0,0,11456
Delhi,6,2,6,1,1,1,1,0,1,0,0,11998
Coimbatore,7,4,6,3,0,0,0,1,0,1,0,13557
Agra,8,4,4,1,1,1,0,0,1,1,1,9691
Shimla,2,2,6,3,1,0,0,0,0,1,0,7327
Coimbatore,6,2,1,2,0,1,0,0,1,1,0,8806
Shimla,8,5,2,4,1,0,1,1,1,1,1,14984
Kolkata,4,5,2,1,0,0,1,0,1,0,0,11030
Patna,6,1,1,4,0,1,0,0,1,0,0,8001
Hyderabad,3,4,3,4,1,1,1,1,1,0,1,15610
Surat,5,5,6,2,0,0,0,0,1,0,0,9565
Indore,2,4,1,4,0,0,1,1,1,0,1,12057
Patna,7,5,2,4,1,0,1,0,1,0,1,11624
Agra,8,3,6,2,1,1,1,0,1,1,1,12419
Ahmedabad,2,2,2,2,1,1,1,0,1,0,0,10086
Agra,4,4,1,4,0,0,0,0,0,0,0,7379
Patna,7,5,1,4,0,1,0,0,1,1,0,12460
Jodhpur,9,1,2,1,0,0,1,1,0,0,0,9104
Varanasi,7,2,4,1,0,0,1,0,1,0,1,8459
Bhopal,9,3,3,2,0,0,1,0,1,0,0,9504
Hyderabad,4,4,1,4,0,1,0,0,0,1,0,11488
Chennai,9,2,3,1,0,0,1,1,0,0,1,11890
Lucknow,8,5,1,1,1,1,0,0,1,1,0,10544
Chandigarh,3,5,3,1,0,1,0,1,0,0,0,10226
Kolkata,4,4,2,1,0,1,0,0,0,1,0,9464
Bhopal,6,1,1,2,0,1,0,0,0,1,0,8038
Shimla,1,5,1,2,1,0,1,0,1,0,0,7467
Varanasi,7,5,5,2,1,1,0,1,1,1,1,13976
Lucknow,8,5,5,2,1,0,0,1,1,1,0,13525
Ahmedabad,5,2,6,1,1,1,0,0,0,0,1,9804
Coimbatore,2,1,1,4,0,1,1,0,0,0,1,7870
Udaipur,2,4,4,3,0,0,1,0,0,1,0,7250
Surat,5,4,6,1,1,0,1,1,1,0,0,13027
Pune,7,3,3,1,0,1,1,1,0,0,1,11788
Ahmedabad,1,3,3,4,0,0,0,1,0,0,1,11725
Coimbatore,5,4,2,2,1,0,1,1,1,0,0,11366
Raipur,8,3,3,4,0,1,1,1,0,1,0,12482
Delhi,3,2,1,1,1,0,1,0,1,1,0,9248
Coimbatore,9,2,4,2,1,1,1,0,0,1,0,9505
Nagpur,9,3,4,3,0,0,1,0,0,0,1,9585
Delhi,9,5,4,3,0,0,1,1,0,1,0,15600
Jodhpur,4,1,2,3,1,1,0,1,1,0,1,9669
Surat,1,5,6,1,0,0,1,1,1,1,1,13308
Shimla,4,4,6,1,1,1,1,0,0,1,0,9631
Patna,1,2,2,4,0,0,0,0,0,1,1,6982
Coimbatore,1,5,4,2,1,0,0,0,0,1,0,9055
Jodhpur,4,3,1,4,1,1,0,1,0,0,1,10222
Ahmedabad,8,4,4,3,0,1,1,0,0,1,0,13235
Bangalore,8,5,4,2,1,1,0,0,1,0,1,12958
Bangalore,1,4,3,2,0,1,0,1,1,1,1,12826
Varanasi,7,4,1,1,0,1,0,0,1,1,1,9350
Udaipur,7,4,3,1,0,1,1,1,1,0,0,11803
Varanasi,7,3,5,4,0,1,0,0,0,1,0,10069
Agra,8,1,4,3,0,0,0,1,0,1,1,10394
Hyderabad,8,1,1,4,0,1,0,1,0,1,0,11649
Surat,4,4,4,4,1,0,1,1,1,0,1,12879
Hyderabad,9,1,2,2,1,1,0,0,1,0,1,11165
Surat,5,4,4,1,0,1,0,1,1,1,0,12492
Surat,1,1,5,1,0,1,0,0,0,1,0,6623
Jaipur,9,1,3,4,0,1,0,0,0,0,0,8145
Ahmedabad,2,3,1,2,0,1,1,0,0,0,1,8262
Nagpur,1,4,6,3,1,1,1,0,1,0,0,10853
Jodhpur,4,4,6,4,1,0,0,0,1,0,1,11211
Surat,4,4,5,2,0,0,1,0,0,1,0,9206
Mumbai,1,4,4,1,0,0,1,1,1,0,0,11604
Nagpur,10,1,4,3,1,1,1,0,1,1,1,12101
Pune,3,3,5,1,1,0,1,1,0,0,0,11360
Chandigarh,3,3,6,1,1,1,0,1,0,0,1,9841
Udaipur,1,3,6,4,1,1,0,0,0,0,0,8038
Dehradun,6,3,4,4,1,1,1,0,0,0,1,8850
Nagpur,6,3,4,3,1,1,1,0,0,0,1,9697
Jodhpur,2,2,2,1,1,0,0,1,0,0,0,7102
Ahmedabad,6,1,3,2,1,0,1,1,0,0,1,12128
Jaipur,6,1,5,4,1,1,1,1,1,0,1,12400
Chennai,6,3,3,2,0,1,0,0,0,1,1,11022
Agra,6,3,2,3,1,0,0,1,0,1,0,9954
Patna,6,3,5,3,1,0,0,0,1,1,1,12227
Raipur,2,2,1,2,1,1,1,1,0,0,1,8609
Delhi,4,2,4,3,1,1,1,1,0,0,0,12384
Pune,3,1,4,2,1,1,1,1,1,0,0,12664
Hyderabad,6,1,6,4,1,0,0,1,1,1,1,14993
Mysore,5,1,2,3,0,1,1,0,0,1,0,8166
Lucknow,2,3,6,4,0,1,0,0,1,0,0,8810
Pune,10,2,1,3,1,1,0,1,1,1,1,15419
Agra,4,1,1,3,0,0,0,0,1,0,1,5600
Jodhpur,2,3,2,2,1,1,0,1,1,0,0,8409
Mysore,8,4,4,3,0,0,1,0,1,1,1,10642
Patna,2,5,5,2,0,1,1,0,0,0,1,9323
Dehradun,5,1,1,2,1,1,1,0,1,0,0,7192
Nagpur,3,4,6,3,1,1,0,0,0,0,0,9557
Pune,10,4,3,2,1,0,1,0,0,1,0,13203
Udaipur,6,3,1,3,0,1,0,0,1,1,0,9078
Lucknow,10,3,2,2,0,0,0,1,0,0,1,10890
Jodhpur,1,3,3,1,0,0,0,1,0,1,1,8242
Jaipur,3,1,2,2,1,0,1,0,0,1,1,6561
Bangalore,6,3,2,3,1,0,1,1,0,0,0,11970
Bangalore,7,2,2,1,1,0,1,1,0,0,1,11268
Hyderabad,10,4,4,1,1,0,0,0,0,1,0,11190
Indore,1,2,5,2,0,1,1,1,1,0,0,9181
Delhi,3,3,3,3,0,0,0,1,0,0,1,10599
Pune,5,2,5,2,1,0,0,0,0,0,1,9801
Delhi,7,3,1,3,1,1,1,0,1,1,0,11978
Patna,2,2,5,1,1,1,1,1,1,0,1,11078
Patna,6,4,5,3,1,0,1,1,1,0,1,12813
Delhi,10,3,4,2,0,1,1,0,1,1,0,13664
Chennai,3,2,6,1,0,1,1,0,1,0,1,10669
Mumbai,6,3,1,1,0,1,0,0,0,0,1,9360
Dehradun,2,4,2,3,0,1,0,0,1,0,1,8697
Mumbai,10,2,1,4,0,0,0,0,0,1,1,11861
Mumbai,5,3,4,2,1,0,0,1,1,1,1,14332
Hyderabad,3,4,6,4,1,0,0,0,1,0,1,13004
Dehradun,6,3,6,2,1,0,1,1,0,1,1,10693
Mysore,10,3,2,2,1,0,0,0,0,1,0,8190
Raipur,5,3,1,3,0,0,0,0,0,0,1,6415
Chandigarh,8,1,3,3,0,0,0,1,0,1,0,11077
Jodhpur,6,5,5,4,0,1,1,1,1,0,0,13128
Bhopal,1,2,4,1,0,1,1,1,0,0,0,8174
Delhi,6,3,5,4,1,0,1,1,1,1,0,14892
Bhopal,10,1,4,4,0,0,0,1,0,1,1,11403
Nagpur,6,5,5,3,0,1,1,0,1,1,1,12082
Jaipur,1,1,4,1,0,1,0,1,0,0,0,7594
Kolkata,9,1,1,2,1,1,1,0,0,1,0,10091
Jaipur,7,5,3,3,0,0,0,0,0,0,1,9382
Chennai,6,2,3,2,1,1,1,0,1,0,1,10560
Pune,8,4,4,2,0,1,0,1,0,1,0,14001
Lucknow,3,2,5,3,0,1,1,0,1,1,1,9382
Surat,3,1,6,2,0,0,0,0,0,1,1,7918
Varanasi,2,3,6,1,1,0,1,0,1,0,1,8499
Jodhpur,9,5,4,4,1,1,1,1,1,1,0,15519
Shimla,6,3,2,2,1,1,0,1,0,0,1,10419
Shimla,10,3,6,1,1,0,0,0,0,1,0,10070
Chennai,3,4,3,2,0,1,0,0,1,0,1,11562
Delhi,7,5,4,2,0,0,1,0,0,1,1,12369
Mysore,6,4,6,4,1,0,1,1,1,0,0,12661
Shimla,1,5,6,1,1,1,0,0,0,0,1,8147
Varanasi,3,4,5,3,0,1,0,1,1,1,1,12977
Nagpur,6,3,2,4,0,0,1,1,1,1,0,13195
Chennai,7,1,2,2,0,1,1,0,1,0,1,9664
Patna,3,5,6,1,1,1,0,1,1,1,1,12572
Jaipur,6,1,4,2,0,0,0,0,0,1,0,7671
